category,simple_explanation,source
Natural language generation (NLG),"Solutions that automatically convert structured data, such as that found in a database, an application, or a live feed, into a text-based narrative.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Negative sampling,"A technique used in training generative AI models to sample negative examples, improving their ability to distinguish between positive and negative instances.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Neighbourhood generation,"A process in generative AI where data points are generated in the vicinity of existing data points, often used for data augmentation, and enhancing model robustness.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Neural architecture search (NAS),A method in which generative AI models are used to automatically search for the optimal neural network architecture for a given task.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Neural differential equations,A framework that uses neural networks to solve differential equations.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Neural network,"Neural networks are a subset of machine learning that rely on training data to learn and improve accuracy over time, allowing models to classify and cluster data at a high velocity.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Neural style transfer,"A technique in generative AI that combines the content of one image with the artistic style of another, producing visually appealing images that merge content and style.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Neuromorphic computing,"A type of computing inspired by the structure and function of the human brain. In generative AI, neuromorphic computing can lead to more efficient and brain-like AI systems.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Noisy data,"Data that contains errors, outliers, or irrelevant information. Managing noisy data is essential in generative AI to ensure the quality of generated content.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Non-Markovian models,"Generative AI models that do not rely on the Markov property, allowing them to capture more complex dependencies between data points. O",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Objective function,A mathematical function that the generative AI model aims to optimise. It quantifies the model’s performance and guides it towards better generation.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Object detection,"A computer vision task where generative AI models identify and locate objects within images or videos, often used in applications like autonomous driving and image captioning.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Ontology,A formal representation of knowledge or concepts and their relationships in a specific domain. Generative AI can use ontologies to generate more contextually relevant content.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
OpenAI,"A research organisation and company known for developing innovative AI models, including GPT (Generative Pre-trained Transformer) models. OpenAI has made significant contributions to the field of generative AI.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Optical character recognition (OCR),"Tech used in generative AI to convert printed or handwritten text into machine-readable text, allowing models to generate or process textual data from images.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Oracle model,An oracle model is a hypothetical model that has access to perfect information or an idealised version of the training data. It serves as a benchmark for evaluating generative models.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Out-of-distribution (OOD) detection,Technique in generative AI used to identify data points that are different from the training data. OOD detection helps improve the reliability of generative models.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Overfitting,"An issue in machine learning where a generative AI model learns to perform well on the training data but fails to generalise to new, unseen data. Preventing overfitting is crucial for generative model performance.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Overparameterisation,A strategy in deep learning where a generative AI has more parameters than necessary. It can lead to improved model performance but may require careful handling to prevent overfitting. P,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Parallel computing,"A method of performing multiple computations simultaneously, used in generative AI to speed up training and inference processes by leveraging multiple processors or graphics processing units.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Parallel data,"In generative AI for translation and language tasks, parallel data consists of text or speech in one language and its corresponding translation or interpretation in another language.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Perception network,"A neural network component in generative AI models that processes sensory inputs, such as images or audio, and extracts relevant features for further processing or generation.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Pixel recurrent neural network (Pixel RNN),"A type of generative AI model that generates images pixel-by-pixel, considering the dependencies between pixels in the image.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Policy gradient methods,"A class of reinforcement learning algorithms used to train models to make sequential decisions and generate content, often employed in tasks like game playing and robotics.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Pre-trained model,A generative AI model that has been trained on a large dataset for a specific task and can be fine-tuned or used as a starting point for related tasks.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Principal component analysis (PCA),"A dimensionality reduction technique used in generative AI for data compression and feature extraction, particularly in image and video generation.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Probabilistic graphical models,"A framework that represents probabilistic relationships between variables using graphs, commonly used in generative AI for modelling complex dependencies.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Progressive GAN (ProGAN),"An improvement of the Generative Adversarial Network architecture that gradually increases the resolution of generated images during training, resulting in high-quality images.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Pruning,A technique in generative AI model optimisation that involves removing unnecessary or low-impact neural network connections or parameters to reduce model size and improve efficiency. Q,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Quality assessment,"Quality assessment in generative AI involves evaluating the quality of generated content, such as images, text, or audio, to ensure that it meets certain criteria and standards.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Quantisation,"The process of mapping continuous values to a discrete set of values. Often used in tasks like image compression, where continuous colour values are mapped to a limited palette of colours.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Query expansion,A technique used in information retrieval and generative AI to improve search results. Involves expanding queries with related terms or synonyms to retrieve relevant information.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
QuickDraw dataset,A publicly available dataset containing millions of hand-drawn sketches contributed by users. Often used in for tasks like sketch generation and recognition. R,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Random forest,"A machine learning ensemble method that combines multiple decision trees to improve generative AI model performance, particularly in classification and regression tasks.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Reciprocal recommender,"A technique that considers both user preferences and item properties in recommendation systems, enhancing the quality of recommendations.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Recommender system,"A system that provides personalised recommendations to users, commonly used in applications like movie recommendations and product suggestions.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Recurrent generative model,"A type of generative AI model that incorporates recurrent layers to generate sequences of data, making it suitable for tasks like text generation and music composition.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Recurrent neural network (RNN),"A type of neural network architecture used in generative AI for processing sequential data, making it suitable for tasks like text generation and speech recognition.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Reinforcement learning (RL),A machine learning paradigm where agents learn to make decisions through interactions with an environment. Used in generative AI for tasks like game playing and robotic control.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Representation learning,The process of learning meaningful representations of data that can be used for generative AI tasks. It involves capturing essential features from raw data.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Residual network (ResNet),"A deep neural network architecture known for its skip connections, allowing it to train very deep models. ResNet is used in generative AI for various computer vision tasks.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Restricted Boltzmann machine (RBM),A generative AI model used in unsupervised learning for feature learning and data representation. RBMs are building blocks in deep belief networks.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Retrieval Augmented Generation (RAG),"Retrieval-augmented generation (RAG) is an AI technique for improving the quality of LLM-generated responses by including trusted sources of knowledge, outside of the original training set, to improve the accuracy of the large language model’s output.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Robustness,"The ability of generative AI models to perform consistently and accurately in the presence of noise, variations, or adversarial inputs, ensuring reliable content generation. S",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Self-attention mechanism,"A key component in transformers, a type of neural network architecture used in generative AI, which enables models to weigh the importance of distinct parts of input sequences when generating content.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Self-supervised learning,"A variant of supervised learning in generative AI where models are trained to predict certain parts of their input data without explicit labels, often used for pre-training.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Semantic segmentation,"A computer vision task in generative AI where models classify each pixel in an image into a specific category, enabling tasks like object recognition and scene understanding.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Sentence embeddings,"In generative AI, these are fixed-length representations of sentences, often used to capture semantic information for various natural language processing tasks.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Sentiment analysis,"Sentiment analysis is an natural language processing function that identifies the sentiment in text. This can be applied to anything from a business document to a social media post. Sentiment is typically measured on a linear scale (negative, neutral, or positive), but advanced implementations can categorize text in terms of emotions, moods, and feelings. Seq2Seq (Sequence-to-Sequence): A neural network architecture used in generative AI for tasks that involve sequential data, such as machine translation and text summarisation.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Stochastic gradient descent (SGD),An optimisation algorithm used in training generative AI models that iteratively adjusts model parameters to minimise a loss function.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Style transfer,"A generative AI technique that involves altering the style of an input, such as converting a photograph into the style of a famous artist’s painting.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Style-generative adversarial network (StyleGAN),A generative AI model known for its ability to generate high-quality images with fine-grained control over style attributes.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Subject-Action-Object (SAO),"SAO is an natural language processing function that identifies the logical function of portions of sentences in terms of the elements that are acting as the subject of an action, the action itself, the object receiving the action (if one exists), and any adjuncts if present.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Supervised learning,"A machine learning paradigm where generative AI models are trained on labelled data, where each input is associated with a corresponding desired output or label.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Symbolic methodology,"A symbolic approach designs a system using specific, narrow instructions that guarantee the recognition of a linguistic pattern. Rule-based solutions tend to have a high degree of precision, though they may require more work than machine learning-based solutions to cover the entire scope of a problem, depending on the application.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Synthetic data,"Artificially generated data used in generative AI for tasks like data augmentation, model training, and improving model robustness. T",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Temporal generative models,"Generative AI models designed to oversee sequential data with a temporal aspect, such as time series forecasting and video generation.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
TensorFlow,An open-source machine learning framework developed by Google that is widely used in generative AI for model development and training.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Text generation,"A generative AI task where models generate human-readable text based on input data or prompts. Text generation is used in applications like chatbots, content generation, and language translation.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Text-to-Speech (TTS),"A technology in generative AI that converts text into spoken language, enabling the generation of natural-sounding speech from written text.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Tokens,A unit of content corresponding to a subset of a word. Tokens are processed internally by large language models and can also be used as metrics for usage and billing.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Tokenisation,"The process of splitting text into individual units, or tokens, which can be words, subwords, or characters. Tokenisation is a crucial step in generative AI for text processing.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Topic modelling,A generative AI technique used to identify topics or themes within a collection of documents. It is commonly applied in tasks like document clustering and content recommendation.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Top-k sampling,"A text generation strategy in generative AI where the model selects from the top-k next tokens at each step, controlling the diversity of generated text.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Top-p (nucleus) sampling,A text generation strategy in generative AI where the model selects from a subset of the tokens with cumulative probability less than or equal to a threshold “p.” This strategy also controls text diversity.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Transfer learning,A technique in generative AI where a pre-trained model is fine-tuned for specific tasks or domains. Transfer learning allows models to leverage knowledge from one task to improve performance on another.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Treemap,Display copious amounts of hierarchically structured (tree-structured) data. The space in the visualisation is split up into rectangles that are sized and ordered by a quantitative variable. The levels in the hierarchy of the treemap are visualised as rectangles containing other rectangles.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Transformer,"A neural network architecture widely used in generative AI for various natural language processing tasks, known for its self-attention mechanism and ability to capture contextual information in text.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Turing test,"A test for intelligence that requires that a human being should be unable to distinguish the machine from another human being by using the replies to questions put to both. For more information, check out: What is the Turing Test? U",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Uncertainty estimation,The process of quantifying the uncertainty associated with model predictions. It is crucial for understanding the reliability of generated content.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Underfitting,"A common issue in machine learning where a generative AI model is too simple to capture the underlying patterns in the data, resulting in deficient performance.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Universal approximation theorem,A mathematical concept stating that neural networks with enough parameters can approximate any continuous function.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Unsupervised learning,A machine learning paradigm where models learn patterns and structures in data without the use of explicit labels. It is often used for tasks like clustering and dimensionality reduction.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Upsampling,"A technique in generative AI that involves increasing the resolution or size of data, such as images or audio, often used in tasks like image generation and super-resolution. V",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Variational autoencoder (VAE),"A model combining elements of autoencoders and variational inference to learn probabilistic representations of data, often used for generating new samples.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Vector quantisation (VQ),"A technique used to discretise continuous data, commonly applied in tasks like speech and image compression.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Virtual reality (VR) simulation,"The use of generative AI to create immersive and interactive virtual environments, enabling experiences in virtual reality.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Visual question answering (VQA),"A task where models answer questions about images or visual data, requiring both vision and language understanding.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Voice cloning,"A technology in generative AI that allows for the replication of a person’s voice, often used in applications like voice assistants and voice synthesis. W",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Wave Generative Adversarial Networks (WaveGAN),"WaveGAN is a generative AI model designed for generating audio waveforms, particularly in tasks like speech synthesis and music generation.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Weakly supervised learning,"A type of learning in generative AI where models are trained with limited or noisy supervision, often used when obtaining precise labels or annotations is challenging.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Weight initialisation,The process of setting initial values for neural network weights. Proper weight initialisation can significantly impact the training and performance of generative AI models.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Windowing,A method that uses a portion of a document as metacontext or metacontent. Word2Vec: A technique used to learn word embeddings from large text corpora. It is commonly used for capturing semantic similarities between words.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Word Embeddings,Vector representations of words that capture semantic relationships between words in a continuous vector space. They are essential for various natural language processing tasks. X,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Xavier initialisation,A weight initialisation technique in generative AI that helps set initial weights in neural networks to ensure efficient training and improved model convergence.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
XML generation,"XML generation involves creating structured data in XML format from various sources, such as text or databases, for tasks like document generation and data interchange.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
XOR problem,"A classic problem in machine learning and generative AI where models need to learn to perform an exclusive OR operation on binary inputs, often used to evaluate the capabilities of neural networks. Y YAML ain’t markup language (YAML): YAML is a human-readable data serialisation format used in generative AI and other fields to represent data structures in a readable and concise manner.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Yield,"The process of producing or generating output, often used in the context of code or functions that generate data or results.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
You only look once) (YOLO),YOLO is a real-time object detection algorithm in generative AI that can detect and locate multiple objects within images or video frames with high accuracy and speed.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Yule-Simon distribution,"A probability distribution in generative AI to model distribution of number of attempts required to observe a new distinct event, often used in certain text generation models. Z",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Z-score (standard score),A statistical measure used in generative AI for data normalisation and outlier detection by measuring how many standard deviations a data point is from the mean.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Zero-inflated model,"A statistical model used in generative AI to account for data with an excess of zero values, often applied in count data and rare event prediction.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Zero-shot image generation,An advanced generative AI task where models are trained to generate images of objects or concepts they have never seen during training.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Zero-shot learning,A machine learning and generative AI technique where models are trained to recognize and generate data or perform tasks for which they have not seen examples during training.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
