category,simple_explanation,source
Bidirectional encoder representations from transformers (BERT),A transformer-based ML technique for NLP. BERT is often the baseline of NLP experiments after being introduced in 2018 by researchers at Google. BERT was pretrained on language modelling and next sentence prediction.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Blending,"The technique of combining features or aspects from multiple sources or datasets to create new, hybrid outputs. Typically used in generative AI, blending can lead to deeper and more complex forms of analyses. Altair provide a great explanation: What is Data Blending? C",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Categorisation,Categorisation is an NLP function that assigns a category to a document.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Composite AI,The combined application of AI techniques to broaden the level of knowledge representations and to solve a wider range of problems in a more efficient manner. Check out Gartner’s helpful definition for more detail: Composite AI.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Computational creativity,"The study and development of AI systems that can perform tasks traditionally considered to require creativity, such as composing music, painting, writing poetry, and so on. The field encompasses both the theoretical and practical aspects of creativity in AI.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Computational linguistics,"Computational linguistics is an interdisciplinary field concerned with the computational modelling of natural language. Computational linguists apply skills to develop and analyse computer applications of translation, voice recognition, text analysis, and so on.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Computational semantics,Computational semantics studies the automation of the construction and reasoning of meaning representations of natural language expressions. Semantics is concerned with computing the meaning of linguistic objects and combines insights from computational linguistics.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Conditional generation,"A process in generative AI where the model generates data based on certain conditions or parameters, such as generating images of a specific category.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Content generation,"The use of AI, particularly generative models, to create content, including text, images, music, and videos. For a guide, check out: How to master generative AI content.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Contextual embedding,"The representation of words or features in the context of their surrounding words or features, improving the relevance and coherence of the generated content.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Conversational AI,"Used by developers to build conversational user interfaces, chatbots, and virtual assistants. They offer integration into chat interfaces such as messaging platforms, SMS, and websites.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Convolutional neural network (CNN),"A type of deep neural network commonly used in generative AI, especially for image generation and analysis. CNNs can detect patterns and features in images.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Creativity metrics,"Measures used to assess the novelty, quality, and diversity of the content produced by AI models.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Curriculum learning,"A training strategy in generative AI where models are gradually exposed to increasingly complex data, improving their ability to generate complex outputs.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Cycle-consistency loss,"A concept used in Generative Adversarial Networks, particularly in tasks like image-to-image translation. It ensures that the original input can be recovered after a series of transformations. D",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Data,"Values that convey information, such as quantity, quality, facts, or other meaning. For more information, and to understand the analysis of data, check out: Data analytics 101.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Dataset,A collection of data derived from a single source or collected for a single project.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Deepfake,"Videos in which the face and/or voice of a person, most commonly a public figure, has been manipulated by AI software in a way that makes the video seem authentic. See: What are deepfakes and how to protect against them.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Deep learning (DL),"A subset of machine learning involving neural networks with many layers. DL is integral to generative AI models, especially in processing complex inputs like images and natural language.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Denoising,"A technique in generative AI where the model learns to remove noise or imperfections from data, often used in image and audio processing.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Did you mean (DYM),DYM is an natural language processing function [JS1] used in search applications to identify typos in a query or suggest similar queries that could produce results in the search database being used.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Digital twin,A digital twin uses real world data to create simulations that can predict how a product or process will perform.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Disentangled representation,"A representation where individual dimensions capture single, independent factors of variation in the data, aiding in more controlled generation.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Distribution matching,"A technique in generative AI where the model learns to generate data that matches the distribution of the training dataset, ensuring realistic and diverse output.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Domain adaptation,"The ability of a generative model to adapt to new, unseen domains of data, maintaining performance even when the new data differs from the training data.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Dynamic time warping (DTW),"An algorithm in generative AI for measuring similarity between two temporal sequences, which may vary in speed. It is particularly useful in speech recognition. E",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Elman network,"A type of recurrent neural network where connections between units form a directed cycle. The architecture is useful in generative models for tasks that involve sequential data, like language modelling.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Encryption,The process of protecting information or data by using mathematical models to scramble it in such a way that only the parties who have the key to unscramble it can gain access.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Entropy,The measure of randomness or uncertainty in the model’s predictions. It is a key concept in understanding and controlling the diversity of generated content.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Evolutionary algorithm,"A subset of AI algorithms inspired by the process of natural selection. These algorithms iteratively select, mutate, and breed candidate solutions. They are sometimes used in generative AI to evolve novel solutions to problems.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Explainable AI,"Branch of AI focused on making the decision-making processes of AI systems transparent and understandable to humans. Explainable AI is becoming more important in generative AI models, as people require trust and transparency. For more, see: The importance of ethics.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Extrapolation,The generative AI model’s ability to generate outputs or make predictions for data points that lie outside the range of its training data. F,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Feedforward neural network,A type of neural network where connections between nodes do not form cycles. The architecture is commonly used in simpler generative models.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Fitness function,"In evolutionary algorithms, a fitness function quantitatively evaluates how close a given design solution is to achieving the set aims. In generative AI, this concept can be used to guide the generation process towards desired outcomes.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Forward propagation,"The process in neural networks, including generative models, in which inputs are passed forward through the network layers to generate an output.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Frame generation,"The use of generative AI to create individual frames in video and animation, often for the purpose of creating smooth transitions or filling in missing frames.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Fuzzy logic,"A form of many-valued logic where truth values can be any real number between 0 and 1, representing degrees of truth. In generative AI, it is used to handle imprecise or uncertain information. For more information, check out: A very brief introduction to Fuzzy Logic and Fuzzy Systems G",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Generative adversarial network (GAN),"Neural network architecture used in unsupervised machine learning, involving two parts: the generator, which generates data, and the discriminator, which evaluates it.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Generative pre-trained transformer (GPT),A type of language processing AI model designed to generate human-like text. It is perhaps the most prominent example of a generative AI model.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Graph neural network (GNN),A type of neural network which directly runs on the graph structure. GNNs are used in generative models that deal with graph-structured data.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Haptic technology,"Tech that simulates the sense of touch through force, vibrations, or motions to the user. Often used in generative AI to create virtual environments or to enhance user interactions.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Hashing,"Converts input data into a fixed-size string of bytes, typically used for data retrieval. Hashing can play a role in generative AI for data indexing or ensuring the uniqueness of generated content.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Hebbian learning,"A theory of how brain neurons adapt during learning process, often summarised as “cells that fire together wire together.” Inspires approaches and algorithms in neural network training.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Hill-climbing algorithm,"A mathematical optimisation technique that starts with an arbitrary solution to a problem and iteratively makes minor changes to the solution, each improving it a bit more.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Hyperplane,"In machine learning, including generative AI, a hyperplane is a decision boundary that helps to classify data points. It is especially relevant in models that involve classification tasks. I",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Image-to-image translation,"A process in generative AI where the model transforms an input image into an output image, keeping the core structure but altering its style or specific characteristics.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Imbalanced data,Situations in machine learning and generative AI where some classes of data are much more frequent than others. Handling imbalanced data is crucial for training effective generative models.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Information bottleneck,A method used in deep learning and generative AI to find a compact representation of the input data that preserves the most relevant information about the output task.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Intelligent agent,"An autonomous entity in AI that sees and acts upon an environment and directs its activity towards achieving goals. In generative AI, such agents can be designed to generate responses or actions based on environmental inputs. For more: What is an intelligent agent?",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Instance-based learning,When an AI model memorises training examples and uses them to make predictions. The approach can be utilised in generative AI for applications where examples resemble test cases.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Isomorphic mapping,"The creation of a one-to-one correspondence between elements of two sets, which can be used in tasks like graph generation and structure-preserving transformations.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Integration testing,"In the context of generative AI development, refers to testing where individual units or components of a model are combined and tested as a group to evaluate their interactions.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Interpolation,AI model generating data that falls within the range of its training dataset. Opposed to extrapolation where the model generates data outside the range of its training data.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Iterative learning,"An approach where the model gradually improves over time, often by repeatedly processing data and refining algorithms. Common method for generative models. J",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Jensen-Shannon divergence,Measures similarity between two probability distributions. Used in generative AI to analyse difference between the generated data distribution and real data distribution.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Jitter,"A technique used in data augmentation where small, random perturbations are added to data (like images or audio) to create a more robust dataset for training generative models.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Joint distribution,The probability distribution over all combinations of values in a set of variables. Important for generating data that captures the relationships between variables.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Joint learning,"A training approach where a model is trained to perform multiple tasks simultaneously, which can lead to more generalised and robust generative models.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Jump connections,"Also known as skip connections, these are connections in a neural network that skip one or more layers. In generative models, they help in preserving information and mitigating the vanishing gradient problem.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Jupyter notebook,"Part of Project Jupyter, Jupyter notebook is an open-source web application that allows the creation and sharing of documents containing live code, equations, visualisations, and narrative text. It is widely used in generative AI for experimentation, data analysis, and model development. See more: How to Use Jupyter Notebooks: The Ultimate Guide.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Just-in-time compilation,"The compilation of certain parts of the code during runtime, which can optimise the performance of AI models, particularly in terms of speed and resource usage. K",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
K-means clustering,"A method of vector quantisation used for cluster analysis in data mining, aiming to partition data points into clusters with similar characteristics.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
K-nearest neighbours,"A simple, non-parametric algorithm used for classification and regression in machine learning, often applied in generative AI for tasks like anomaly detection.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Keras,"A high-level neural networks application programming interface in Python, used for prototyping deep learning models, including generative models like Generative Adversarial Networks and Variational Autoencoders (VAEs).",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Kernel,"In machine learning, a kernel is a function used to transform data into a higher-dimensional space, enabling better classification when data is not linearly separable in the original space.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Keyframe,"In animation and film, a keyframe defines the starting and ending points of a smooth transition. Keyframes can be used in generative AI for animation and frame interpolation.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Kullback-Leibler divergence,"A measure of divergence between probability distributions, often used in generative AI to quantify the difference between generated and training data distributions.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Knowledge base,"A collection of data, information, and rules used for knowledge management. Generative AI can utilise knowledge bases to generate contextually relevant outputs.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Knowledge extraction,"The process of extracting valuable knowledge from large datasets, a technique used in generative AI to improve understanding and generation capabilities.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Knowledge representation,"The way in which intelligent agents, like generative models, represent knowledge about the world to make decisions or generate content. L",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Label smoothing,"A regularisation technique used in training generative AI models to prevent overconfidence in predictions by penalising overly confident outputs, encouraging more diverse and calibrated predictions.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Language generation,"The process of using generative AI to create human-like text or speech, often employed in chatbots, virtual assistants, and in content generation.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Large language model (LLM),"Type of AI algorithm that uses deep learning techniques and massively large data sets to understand, summarise, generate, and predict new content. For more information, check out: What’s a large language model?",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Latent space,"The abstract, high-dimensional space in which the model represents data. It is essential in models like Generative Adversarial Networks and variational autoencoders.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Layer normalisation,A technique used to normalise activations in neural network layers. It can improve the stability and training speed of generative models.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Leveraged generative models,"These models combine generative AI techniques with reinforcement learning, enabling the generation of sequences with specific desired characteristics.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Log-likelihood,A measure of how well a generative model’s predictions match the actual data distribution. It is used to assess the quality of generated content.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Loss function,A mathematical function used in training generative AI models to quantify the difference between the model’s predictions and the actual data. It guides the model towards better performance.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Long short-term memory (LSTM),"Recurrent neural network architecture well-suited for sequential data, making it valuable in tasks like text generation, language modelling, and speech recognition. M",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Machine Learning (ML),"Use and development of computer systems able to learn and adapt without following explicit instructions, by using algorithms and statistical models to analyse and draw inferences from patterns in data. For more information, check out: What is Machine Learning?",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Markov chain,A stochastic model describing a sequence of events where the probability of each event depends only on the state attained in the previous event. Markov chains are used in generative models.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Memory augmented neural networks,"Neural network architectures that incorporate external memory modules, allowing them to store and access information over extended sequences. These networks are valuable in generative tasks with long-term dependencies.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Meta-learning,"A machine learning technique where a model learns how to learn. In generative AI, meta-learning can help models adapt quickly to new tasks or generate content with diverse styles.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Minibatch,A subset of data used during training in generative AI. Minibatch training is an efficient way to update model parameters and manage large datasets.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Mixture density network (MDN),A neural network architecture used for modelling probability distributions over continuous variables. MDNs are employed in generative AI to manage uncertainty and generate probabilistic outputs.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Motion capture,"A technology used to record the movement of objects or humans. In generative AI, motion capture data can be used to create realistic animations and simulations.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Model ensemble,A technique in which multiple generative AI models are combined to improve performance. Ensemble methods can enhance the diversity and quality of generated content.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Multi-modal generation,"The generation of content that involves multiple modes of input or output, such as generating both text and images together. Multimodal generative AI models are used in tasks like image captioning.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Multi-task prompt tuning (MPT),An approach that configures a prompt representing a variable — that can be changed — to allow repetitive prompts where only the variable changes. N,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Natural language processing (NLP),"A field of AI focussing on the interaction between computers and human language, enabling generative AI models to understand, generate, and manipulate natural language text.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Natural language understanding (NLU),"The ability of generative AI models to comprehend and interpret human language, enabling them to generate contextually relevant responses and content.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Natural language generation (NLG),"Solutions that automatically convert structured data, such as that found in a database, an application, or a live feed, into a text-based narrative.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Negative sampling,"A technique used in training generative AI models to sample negative examples, improving their ability to distinguish between positive and negative instances.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Neighbourhood generation,"A process in generative AI where data points are generated in the vicinity of existing data points, often used for data augmentation, and enhancing model robustness.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Neural architecture search (NAS),A method in which generative AI models are used to automatically search for the optimal neural network architecture for a given task.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Neural differential equations,A framework that uses neural networks to solve differential equations.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Neural style transfer,"A technique in generative AI that combines the content of one image with the artistic style of another, producing visually appealing images that merge content and style.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Neuromorphic computing,"A type of computing inspired by the structure and function of the human brain. In generative AI, neuromorphic computing can lead to more efficient and brain-like AI systems.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Noisy data,"Data that contains errors, outliers, or irrelevant information. Managing noisy data is essential in generative AI to ensure the quality of generated content.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Non-Markovian models,"Generative AI models that do not rely on the Markov property, allowing them to capture more complex dependencies between data points. O",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Objective function,A mathematical function that the generative AI model aims to optimise. It quantifies the model’s performance and guides it towards better generation.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Ontology,A formal representation of knowledge or concepts and their relationships in a specific domain. Generative AI can use ontologies to generate more contextually relevant content.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
OpenAI,"A research organisation and company known for developing innovative AI models, including GPT (Generative Pre-trained Transformer) models. OpenAI has made significant contributions to the field of generative AI.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Optical character recognition (OCR),"Tech used in generative AI to convert printed or handwritten text into machine-readable text, allowing models to generate or process textual data from images.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Oracle model,An oracle model is a hypothetical model that has access to perfect information or an idealised version of the training data. It serves as a benchmark for evaluating generative models.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Out-of-distribution (OOD) detection,Technique in generative AI used to identify data points that are different from the training data. OOD detection helps improve the reliability of generative models.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Overparameterisation,A strategy in deep learning where a generative AI has more parameters than necessary. It can lead to improved model performance but may require careful handling to prevent overfitting. P,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Parallel computing,"A method of performing multiple computations simultaneously, used in generative AI to speed up training and inference processes by leveraging multiple processors or graphics processing units.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Parallel data,"In generative AI for translation and language tasks, parallel data consists of text or speech in one language and its corresponding translation or interpretation in another language.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Perception network,"A neural network component in generative AI models that processes sensory inputs, such as images or audio, and extracts relevant features for further processing or generation.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Pixel recurrent neural network (Pixel RNN),"A type of generative AI model that generates images pixel-by-pixel, considering the dependencies between pixels in the image.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Policy gradient methods,"A class of reinforcement learning algorithms used to train models to make sequential decisions and generate content, often employed in tasks like game playing and robotics.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Principal component analysis (PCA),"A dimensionality reduction technique used in generative AI for data compression and feature extraction, particularly in image and video generation.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Probabilistic graphical models,"A framework that represents probabilistic relationships between variables using graphs, commonly used in generative AI for modelling complex dependencies.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Progressive GAN (ProGAN),"An improvement of the Generative Adversarial Network architecture that gradually increases the resolution of generated images during training, resulting in high-quality images.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Pruning,A technique in generative AI model optimisation that involves removing unnecessary or low-impact neural network connections or parameters to reduce model size and improve efficiency. Q,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Quality assessment,"Quality assessment in generative AI involves evaluating the quality of generated content, such as images, text, or audio, to ensure that it meets certain criteria and standards.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Quantisation,"The process of mapping continuous values to a discrete set of values. Often used in tasks like image compression, where continuous colour values are mapped to a limited palette of colours.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Query expansion,A technique used in information retrieval and generative AI to improve search results. Involves expanding queries with related terms or synonyms to retrieve relevant information.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
QuickDraw dataset,A publicly available dataset containing millions of hand-drawn sketches contributed by users. Often used in for tasks like sketch generation and recognition. R,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Reciprocal recommender,"A technique that considers both user preferences and item properties in recommendation systems, enhancing the quality of recommendations.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Recommender system,"A system that provides personalised recommendations to users, commonly used in applications like movie recommendations and product suggestions.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Recurrent generative model,"A type of generative AI model that incorporates recurrent layers to generate sequences of data, making it suitable for tasks like text generation and music composition.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Recurrent neural network (RNN),"A type of neural network architecture used in generative AI for processing sequential data, making it suitable for tasks like text generation and speech recognition.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Reinforcement learning (RL),A machine learning paradigm where agents learn to make decisions through interactions with an environment. Used in generative AI for tasks like game playing and robotic control.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Representation learning,The process of learning meaningful representations of data that can be used for generative AI tasks. It involves capturing essential features from raw data.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Residual network (ResNet),"A deep neural network architecture known for its skip connections, allowing it to train very deep models. ResNet is used in generative AI for various computer vision tasks.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Restricted Boltzmann machine (RBM),A generative AI model used in unsupervised learning for feature learning and data representation. RBMs are building blocks in deep belief networks.,https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Retrieval Augmented Generation (RAG),"Retrieval-augmented generation (RAG) is an AI technique for improving the quality of LLM-generated responses by including trusted sources of knowledge, outside of the original training set, to improve the accuracy of the large language model’s output.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
Self-attention mechanism,"A key component in transformers, a type of neural network architecture used in generative AI, which enables models to weigh the importance of distinct parts of input sequences when generating content.",https://charitydigital.org.uk/topics/an-a-z-glossary-of-artificial-intelligence-terms-and-definitions-11427
